question,answers,page,link
What can I do to protect myself and prevent the spread of disease,"Protection measures for everyone Stay aware of the latest information on the COVID-19 outbreak, available on the national,state and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news. You can reduce your chances of being infected or spreading COVID19 by taking some simple precautions: • Regularly and thoroughly clean your hands with an alcoholbased hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands. • Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease. • Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick. • Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. Why? Droplets spread virus. By following good respiratory hygiene you protect the people around you from viruses such as cold, flu and COVID-19. • Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections. • Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places – especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching COVID-19 in one of these areas.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Protection measures for persons who are in or have recently visited (past 14 days) areas where COVID-19 is spreading,"Self-isolate by staying at home if you begin to feel unwell, even with mild symptoms such as headache, low grade fever (37.3 C or above) and slight runny nose, until you recover. If it is essential for you to have someone bring you supplies or to go out, e.g. to buy food, then wear a mask to avoid infecting other people. Why? Avoiding contact with others and visits to medical facilities will allow these facilities to operate more effectively and help protect you and others from possible COVID-19 and other viruses. o If you develop fever, cough and difficulty breathing, seek medical advice promptly as this may be due to a respiratory infection or other serious condition. Call in advance and tell your provider of any recent travel or contact with travelers. Why? Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also help to prevent possible spread of COVID-19 and other viruses.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
How likely am I to catch COVID-19?,"The risk depends on where you are - and more specifically, whether there is a COVID-19 outbreak unfolding there. For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19. COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go. 
",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings.",EU,https://www.europeanlung.org/it/qa-covid-19/
Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection.",EU,https://www.europeanlung.org/it/qa-covid-19/
Are there any medicines or therapies that can prevent or cure COVID-19,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. We does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines. We will continue to provide updated information as soon as clinical findings are available.",EU,https://www.europeanlung.org/it/qa-covid-19/
Should I wear mask to protect myself,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so We urge people to use masks wisely. We advises rational use of medical masks to avoid unnecessary wastage of precious resources and mis-use of masks The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing.",EU,https://www.europeanlung.org/it/qa-covid-19/
How to put on use take off and dispose of a mask?,"Remember, a mask should only be used by health workers, care takers, and individuals with respiratory symptoms, such as fever and cough. 2. Before touching the mask, clean hands with an alcohol-based hand rub or soap and water 3. Take the mask and inspect it for tears or holes. 4. Orient which side is the top side (where the metal strip is). 5. Ensure the proper side of the mask faces outwards (the coloured side). 6. Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it moulds to the shape of your nose. 7. Pull down the mask’s bottom so it covers your mouth and your chin. 8. After use, take off the mask; remove the elastic loops from behind the ears while keeping the mask away from your face and clothes, to avoid touching potentially contaminated surfaces of the mask. 9. Discard the mask in a closed bin immediately after use. 10. Perform hand hygiene after touching or discarding the mask – Use alcohol-based hand rub or, if visibly soiled, wash your hands with soap and water.",EU,https://www.europeanlung.org/it/qa-covid-19/
How long is the incubation period for COVID-19?,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",EU,https://www.europeanlung.org/it/qa-covid-19/
Can I catch COVID-19 from my pet?,"While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. To protect yourself, clean your hands frequently and thoroughly. We continues to monitor the latest research on this and other COVID19 topics and will update as new findings are available.",EU,https://www.europeanlung.org/it/qa-covid-19/
Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.",EU,https://www.europeanlung.org/it/qa-covid-19/
Is there anything I should not do?,"The following measures ARE NOT effective against COVID-2019 and can be harmful: • Smoking • Wearing multiple masks • Taking antibiotics (See question 10 ""Are there any medicines of therapies that can prevent or cure COVID-19?"")",EU,https://www.europeanlung.org/it/qa-covid-19/
Can you have COVID-19 and show no symptoms?,"You can have it and display no symptoms depending on your age, how strong your immune system is and how recently you have been exposed. Because it is extremely contagious, the virus can be transmitted easily - even by individuals without symptoms - which is why it is important to practice preventative measures even if you feel fine.",EU,https://www.europeanlung.org/it/qa-covid-19/
Can one get corona virus for a second time?,"Currently it is unknown how long the immunity of COVID-19 patients can last. However, the virus could potentially mutate in such a way as to cause patients to become susceptible again. questions like: How accurate were the test results? Was the recovered patient reinfected with the virus, or did they have an infection that simply lasted a long time? Are there variations in immune response among different people? How many different versions of COVID-19 may be spreading around? These questions could help us understand the immune response of the virus.",EU,https://www.europeanlung.org/it/qa-covid-19/
How long can the virus survive on surfaces?,"This depends on the surface material and the amount of virus present. A recent study investigated the persistence of corona virus on stainless steel, plastic, cardboard and copper. The authors used an initial virus concentration similar to that found in the respiratory tract of infected people. The virus remained detectable for between 10 hours and three days, with the shortest persistence on copper and the longest on plastic. Another study that looked at the related virus SARS-CoV - the virus responsible for the SARS outbreak in 2003 - found it was detectable for up to nine days. However, just because a virus is detectable does not mean it poses a health risk. So an interesting related question is: How long should we worry about becoming sick from touching a contaminated surface? The answer to this is probably shorter than three to nine days. One reason is that the virus concentration on surfaces declines over time as it dries out, so the longer the time since contamination, the lower the risk. A second reason is that only a portion of the total virus will transfer from the surface to your hand to your mouth or nose. Nevertheless, risks from surface contamination in highly trafficked areas provide additional motivation to wash your hands frequently with soap and water and disinfect surfaces regularly.
 ",EU,https://www.europeanlung.org/it/qa-covid-19/
How has attention to other major illnesses (like cancer) been affected?,"The diversion of healthcare resources to manage the COVID-19 crisis has significantly affected the ability of many health systems to maintain standards of care for patients with other medical conditions. Hospitals in the worst-affected countries are struggling to keep pace with the number of admissions from the corona virus alone, and have almost zero capacity to cope with other conditions. Even in countries that are not as badly affected, many hospitals have now deferred elective surgeries, redirected any upper respiratory tract infection or pneumonia cases to isolation wards, and cancelled or postponed non-critical outpatient clinic visits. This also means that people are deferring their health checks, including screening tests to pick up cancer incidence. The latter in particular means there will be patients who would otherwise have been identified through routine screening as being in need of urgent medical attention, and these are now missed or delayed – which means the window of opportunity for seeking early or effective treatment may be closed, resulting in morbidity or mortality that could have been avoided. The situation may be compounded when the supply chains for essential medicines are disrupted, a reality that is starting to happen in several countries which are key producers of medical supplies.",EU,https://www.europeanlung.org/it/qa-covid-19/
Is it possible that one day this will happen again?,"Over the past 30 years, the number of annual epidemics has nearly tripled. In the past 15 years alone, outbreaks of Zika, MERS-CoV, SARS, cholera, tuberculosis, HIV/AIDS, influenza and Ebola have killed hundreds of thousands of people. We know why this is happening. We live in a world where humans are increasingly connected — not only to each other but also to animals, which are responsible for about three-quarters of new infectious diseases. What’s more, human beings are moving around the planet faster than at any other time in history, giving pathogens endless opportunities to find new hosts, cross borders and evolve into stronger strains than we’ve seen in the past. Climate change is also fuelling the spread of disease, as warmer temperatures disrupt our ecological balance and expand the habitats of mosquitoes and other disease-carrying species. Meanwhile, antimicrobial resistance is undermining some of the gains we have made in controlling outbreaks, as infections become more difficult — and even impossible — to kill. The next pandemic is only a matter of time. And as has become painfully obvious over these past few weeks, we remain dangerously underprepared.",EU,https://www.europeanlung.org/it/qa-covid-19/
How to stop infection spreading of covid-19 ?,"DO's : 
wash your hands with soap and water often – do this for at least 20 seconds
use hand sanitiser gel if soap and water are not available
wash your hands as soon as you get home
cover your mouth and nose with a tissue or your sleeve (not your hands) when you cough or sneeze
put used tissues in the bin immediately and wash your hands afterwards

Dont's:
do not touch your eyes, nose or mouth if your hands are not clean",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
What to do if you need medical help ? ,"If you need medical help for any reason, do not go to places like a GP surgery, pharmacy or hospital.
If you have symptoms of coronavirus (a high temperature or a new, continuous cough), use the 111 coronavirus service.
If you need help or advice not related to coronavirus:
for health information and advice, use the NHS website or your GP surgery website
for urgent medical help, use the NHS 111 online service – only call 111 if you're unable to get help online
for life-threatening emergencies, call 999 for an ambulance",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
How to protect yourself from coronavirus ?,"You should only leave the house for very limited purposes:

shopping for basic necessities, for example food and medicine, which must be as infrequent as possible
one form of exercise a day, for example a run, walk, or cycle – alone or with members of your household
any medical need, including to donate blood, avoid or escape risk of injury or harm, or to provide care or to help a vulnerable person
travelling for work purposes, but only where you cannot work from home.",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
Who are the People most at risk ? ,"People most at risk from coronavirus are sometimes called ""shielded"" or ""extremely vulnerable"" people.
This includes people who:
have had an organ transplant
are having certain types of cancer treatment
have blood or bone marrow cancer, such as leukaemia
have a severe lung condition, such as cystic fibrosis or severe asthma
have a condition or are taking medicine that makes them much more likely to get infections
are pregnant and have a serious heart condition",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
What are the symptoms of someone infected with a corona virus?,"Do not leave your home if you have either:

a high temperature – this means you feel hot to touch on your chest or back (you do not need to measure your temperature)
a new, continuous cough – this means coughing a lot for more than an hour, or 3 or more coughing episodes in 24 hours (if you usually have a cough, it may be worse than usual)
To protect others, do not go to places like a GP surgery, pharmacy or hospital. Stay at home.
Use the 111 online coronavirus service to find out what to do.",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
How long you should self isolate ?,"Do not leave your home if you have symptoms of coronavirus (COVID-19) or live with someone who does.
This is called self-isolation.
If you are self-isolating, you must:
not leave your home for any reason, other than to exercise once a day – but stay at least 2 metres (3 steps) away from other people
not go out to buy food or collect medicine – order them by phone or online, or ask someone else to drop them off at your home
not have visitors, such as friends and family, in your home
You can use your garden, if you have one.",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
How long to self-isolate if you have symptoms ? ,"If you have symptoms of coronavirus, you'll need to self-isolate for 7 days.

After 7 days:
if you do not have a high temperature, you do not need to self-isolate
if you still have a high temperature, keep self-isolating until your temperature returns to normal
You do not need to self-isolate if you just have a cough after 7 days. A cough can last for several weeks after the infection has gone.",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
What to do If you live with someone who has symptoms?,"If you live with someone who has symptoms, you'll need to self-isolate for 14 days from the day their symptoms started. This is because it can take 14 days for symptoms to appear.

If more than 1 person at home has symptoms, self-isolate for 14 days from the day the first person started having symptoms.
If you get symptoms, self-isolate for 7 days from when your symptoms start, even if it means you're self-isolating for longer than 14 days.
If you do not get symptoms, you can stop self-isolating after 14 days.",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
What should be done to reduce the spread of infection in your home ? ,"Do's:
wash your hands with soap and water often, for at least 20 seconds
use hand sanitiser gel if soap and water are not available
cover your mouth and nose with a tissue or your sleeve (not your hands) when you cough or sneeze
put used tissues in the bin straight away and wash your hands afterwards
clean objects and surfaces you touch often (like door handles, kettles and phones) using your regular cleaning products
clean a shared bathroom each time you use it, for example by wiping the surfaces you have touched

Dont's:
do not share towels, including hand towels and tea towels",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
How to Treat corona virus symptoms at home ? ,"To help yourself stay well while you're at home:
rest and sleep
drink plenty of water to avoid dehydration – drink enough so your pee is light yellow and clear
take paracetamol to lower your temperature",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
Can I take ibuprofen if I have corona virus ? ,"There is currently no strong evidence that ibuprofen can make coronavirus (COVID-19) worse.
But until we have more information, take paracetamol to treat the symptoms of coronavirus, unless your doctor has told you paracetamol is not suitable for you.
If you are already taking ibuprofen or another non-steroidal anti-inflammatory (NSAID) on the advice of a doctor, do not stop taking it without checking first.",UK,https://www.nhs.uk/conditions/coronavirus-covid-19/
When am I allowed to leave the house?,"You should only leave the house for very limited purposes:
shopping for basic necessities, for example food and medicine, which must be as infrequent as possible
one form of exercise a day, for example a run, walk, or cycle - alone or with members of your household
any medical need, including to donate blood, avoid or escape risk of injury or harm, or to provide care or to help a vulnerable person
travelling for work purposes, but only where you cannot work from home",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
"Can I go to the dentist, my GP or another medical appointment?","You can leave home for medical appointments.
GP practices may postpone non-urgent health checks or routine appointments.
You should go to the doctor if there is an essential medical need.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
Should I stay at home or go to work?,"You may travel for work purposes, but only where you cannot work from home.

Certain jobs require people to travel to their place of work – for instance if they operate machinery, work in construction or manufacturing, or are delivering front line services such as train and bus drivers.
Employers and employees should discuss their working arrangements, and employers should take every possible step to facilitate their employees working from home, including providing suitable IT and equipment to enable remote working.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
I’m not a critical worker and I can’t work from home. What should I do?,"If you cannot work from home then you can still travel to work. This is consistent with the Chief Medical Officer’s advice.
Critical workers are those who can still take their children to school or childcare. This critical worker definition does not affect whether or not you can travel to work – if you are not a critical worker, you may still travel to work provided you cannot work from home.
Anyone who has symptoms or is in a household where someone has symptoms should not go to work and should self-isolate.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
How can I find out if my work is essential or not?,"The government is not saying only people doing “essential” work can go to work. Anyone who cannot work from home can still go to work.

Separately, there is a list of critical workers who can still take their children to school or childcare. Provision has been prioritised for these workers.
Every worker – whether critical or not – should work from home if they can but may otherwise travel to work.
We have also asked certain businesses where people gather, such as pubs and most shops, to close. Separate guidance has been published on this.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
Can I see my friends?,"We must all stay away from each other to stop spreading the virus, and that means you should not be meeting friends unless you live in the same household.
Instead, you could keep in touch with your friends using phone or video calls.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
Can I visit elderly relatives?,"No, you should not be visiting family members who do not live in your home.
You should keep in touch with them using phone or video calls.
Where your relatives are elderly or vulnerable, you may leave your house to help them, for example by dropping shopping or medication at their door. You can also help them to order online.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
Can I go out to help a vulnerable person?,"You can only provide support to vulnerable people if you fulfil all of the conditions below:
you are well and have no symptoms like a cough or high temperature and nobody in your household does
you are under 70
you are not pregnant
you do not have any long-term health conditions that make you vulnerable to coronavirus

When outside the home, you should stay at least two metres away from others wherever possible.
We have seen an incredible effort across the country already, and we’re hugely grateful to those who support the vulnerable in their communities by volunteering day-to-day.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
Can I go to park ? ,"You can still go to the park for outdoor exercise once a day but only alone or with members of your household, not in groups.
Communal places within parks such as sports courts, playgrounds and outdoor gyms have been closed to protect everyone’s health.
We ask that households use parks responsibly and keep 2 metres apart from others at all times.
Unless you are with members of your household, gatherings of more than two people in parks and other public spaces have been banned. The police have the powers to disperse gatherings and issue fines if necessary.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
Can I move house?,"Homebuyers and renters should, where possible, delay moving to a new house while measures are in place to fight coronavirus.

If moving is unavoidable for contractual reasons and the parties are unable to reach an agreement to delay, people must follow advice on staying away from others to minimise the spread of the virus.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
Can I drive to a national park or other green space to walk?,"We advise you to stay local and use open spaces near to your home where possible – do not travel unnecessarily.

You can still go to the park for outdoor exercise once a day but only by yourself or within your household, not in groups.

We ask you to keep 2 metres apart from others outside your household at all times when outdoors.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
What will happen to me if I break the rules?,"We appreciate all the effort people are putting into containing the spread of coronavirus which will help protect our NHS and save lives.

However, if you leave your home or gather in public for any reason other than those specified, the police may:

instruct you to go home, leave an area or disperse
instruct you to take steps to stop your children breaking these rules if they have already done so
take you home – or arrest you – if you do not follow their instructions or where they deem it necessary
issue a fine (fixed penalty notice) of £60, which will be lowered to £30 if paid within 14 days.
issue a fine (fixed penalty notice) of £120 for second time offenders, doubling on each further repeat offence
Individuals who do not pay their fine could be taken to court, with magistrates able to impose unlimited fines.",UK,https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do
What to do if you have symptoms ? ,"Stay at home guidance
Public Health England (PHE) is advising to stay at home for 7 days if you have either:
a high temperature
a new continuous cough
This will help to protect others in your community while you are infectious.

Do not go to a GP surgery, pharmacy or hospital.
You do not need to contact NHS 111 to tell them you’re staying at home.
PHE will not be testing people who are self-isolating with mild symptoms.

Contacting NHS 111
Use the NHS 111 online coronavirus service if:

you feel you cannot cope with your symptoms at home
your condition gets worse
your symptoms do not get better after 7 days",UK,https://london.ac.uk/coronavirus-advice-and-faqs#what-to-do-if-you-have-symptoms-19392
What can I do to prevent catching or spreading the germs ? ,"There are things you can do to help stop viruses like coronavirus spreading which now includes:

Social distancing
Stay at home guidance 
",UK,https://london.ac.uk/coronavirus-advice-and-faqs#what-to-do-if-you-have-symptoms-19392
Are the Intercollegiate Halls of Residence open?,"Yes. We will continue to offer accommodation for any residents who want to remain in London.

You should review the Frequently Asked Questions relating to Halls of Residence for the most up to date information. ",UK,https://london.ac.uk/coronavirus-advice-and-faqs#for-students-on-distance-and-flexible-learning-programmes-19431
Is teaching continuing for students?,"Flexible and distance learning
Our online, flexible and distance learning programmes continue to be delivered and are supported by staff working remotely. Our students are able to continue with their studies through ongoing, full access to our digital resources. Our students also continue to be supported through our Student Portal and Virtual Learning Environment.

Students who study at a Recognised Teaching Centre should also follow the advice from their local teaching centre on classes.

School of Advanced Study
Within the School of Advanced Study there will be some minimal face to face teaching for taught postgraduates for week commencing 16 March with no teaching planned for next term as students will be preparing for dissertations.

Students will continue to be supported through other means and course directors will be in touch to facilitate this. Similarly, research students will continue to be remotely supported. Where possible adjustments will be made to assignment dates, vivas, upgrades and supervisions. 

Keep up to date via the School of Advanced Study website.

University of London Institute in Paris
For the University of London Institute in Paris, any teaching for the remainder of the term before the Easter break are taking place remotely from Monday 16 March. Keep up to date via the Institute's website.",UK,https://london.ac.uk/coronavirus-advice-and-faqs#for-students-on-distance-and-flexible-learning-programmes-19431
What is corona virus ? ,"Coronaviruses are a large family of viruses common around the world, which may cause illness in animals or humans. The Novel Coronavirus (or Covid-19) originated in Wuhan City, Hubei Province, China in December 2019, but cases have since been confirmed around the world.

Public Health England has assessed the current risk to the public as 'high' and will be working with the World Health Organisation (WHO), the NHS and other international partners constantly to review the situation.",UK,https://www.sheffield.ac.uk/coronavirus/faqs
What is social distancing ? ,"On Monday 23 March 2020, the government announced strict new social distancing measures, it is the single most important action we can all take in fighting coronavirus by staying at home in order to protect the NHS and save lives.

People will only be allowed to leave their homes for the following very limited purposes:

Shopping for basic necessities as infrequently as possible
One form of exercise a day, for example a run, walk, cycle, alone or with members of your household
Any medical need to provide care or help a vulnerable person
Travelling to and from work, only when absolutely necessary and when it cannot be done from home
These restrictions apply to all staff and students, including Undergraduates, Postgraduate Taught students, and Postgraduate Research students, including those living in University accommodation. Unless you have specifically been asked to do so for business critical reasons, please do not access campus facilities.",UK,https://www.sheffield.ac.uk/coronavirus/faqs
What effect does coronavirus have on pregnant women?,"Generally, pregnant women do not appear to be more likely to be seriously unwell than other healthy adults if they develop the new coronavirus. It is expected the large majority of pregnant women will experience only mild or moderate cold/flu like symptoms.

More severe symptoms such as pneumonia, seem to be appear to be more common in older people, those with weakened immune systems or long-term conditions. As yet, there is no evidence that pregnant women who get this infection are more at risk of serious complications than any other healthy individuals.

If you think you may have symptoms of COVID-19 you should use the NHS 111 online service for information, or NHS 24 if in Scotland. If you develop more severe symptoms or your recovery is delayed, this may be a sign that you are developing a more significant chest infection that requires specialised care. Our advice remains that if you feel your symptoms are worsening or if you are not getting better you should contact your maternity care team or use the NHS 111 online service / NHS 24 for further information and advice.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
What effect will coronavirus have on my baby if I am diagnosed with the infection?,"As this is a very new virus we are just beginning to learn about it. There is no evidence to suggest an increased risk of miscarriage.

Emerging evidence suggests that transmission from mother to baby during pregnancy or birth (vertical transmission) is probable. There has been a report of a single case in which this appears likely, but reassuringly the baby was discharged from hospital and is well. In all previously reported cases, infection was found at least 30 hours after birth. It is important to emphasise that in all reported cases of newborn babies developing coronavirus very soon after birth, the baby was well.

Given current evidence, it is considered unlikely that if you have the virus it would cause problems with the baby’s development, and none have been observed currently.

Some babies born to women with symptoms of coronavirus in China have been born prematurely. It is unclear whether coronavirus caused early labour, or whether it was recommended that the baby was born early in order to preserve the mother’s health.

The UK is conducting near-real-time surveillance (observation) of all women who develop COVID-19 during pregnancy and their newborn babies, through well-established systems already used by all maternity units. We will update our information if and as soon as there is any change in the evidence.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Why are pregnant women in a vulnerable group?,"Pregnant woman were placed in a vulnerable group by the Chief Medical Officer on 16th March. This means you have been advised to reduce social contact through social distancing measures.

Based on the evidence we have so far, pregnant women are still no more likely to contract coronavirus than the general population. What we do know is that pregnancy in a small proportion of women can alter how your body handles severe viral infections. This is something that midwives and obstetricians have known for many years and are used to dealing with. As yet, there is no evidence that pregnant women who get coronavirus are more at risk of serious complications than any other healthy individuals.

What has driven the decisions made by officials to place pregnant women in the vulnerable category is caution. We know that some viral infections are worse in pregnant women. At the moment, there’s no evidence that this is the case for coronavirus infection, but the amount of evidence available is still quite limited.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
What is the travel advice if I am pregnant?,"If you are in the UK, you should follow the advice given by the Foreign and Commonwealth Office, which is being regularly updated in line with the evolving situation.

All individuals, including pregnant women, should ensure they have adequate insurance arrangements prior to travel. You should also check that your travel insurance will provide cover for birth and care of your newborn baby if you give birth while abroad.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
Should I attend my antenatal and postnatal appointments?,"Yes. It is really important that you continue to attend your scheduled routine care when you are well.

Maternity care is essential, and has been developed over many years to reduce complications in mothers and babies. There is a potential risk of harm to you and your baby if you don’t attend your appointments, even in the context of coronavirus.

If you are well, you should be able to attend your antenatal care as normal. If you have symptoms of possible coronavirus infection, you should contact your community midwife to postpone routine visits until after the isolation period is over.

At this time, it is particularly important that you help your maternity team take care of you. If you have had an appointment cancelled or delayed, and are not sure of your next contact with your maternity team, please let them know by using the contact numbers given to you at booking.

The following practical advice may be helpful:

If you have a routine scan, appointment or visit due in the coming days, please contact your maternity unit for advice and a plan. You will still need to attend but the appointment may change due to staffing requirements.
Some appointments may be conducted on the telephone or using videoconferencing, provided there is a reasonable expectation that observations, such as blood pressure or other tests are not needed.
The recommendation that your bump will be measured from around 26 weeks of pregnancy should be observed by your maternity team unless you are in the recommended 14 day self isolation period.
If you are between appointments, please wait to hear from your maternity team.
If you are attending more regularly in pregnancy, then your maternity team will be in touch with plans.
If you miss an appointment and haven’t heard from your maternity team, please contact them to rearrange the appointment.
Whatever your personal situation please consider the following:

If you have any concerns, you will still be able to contact your maternity team but please note they may take longer to get back to you
If you have an urgent problem related to your pregnancy but not related to coronavirus, get in touch using the same emergency contact details you already have. Please do not contact this number unless you have an urgent problem
If you have symptoms suggestive of coronavirus contact your maternity services and they will arrange the right place and time to come for your visits. You should not attend a routine clinic.
You will be asked to keep the number of people with you at appointments to a minimum. This will include being asked to not bring children with you to maternity appointments and on occasions your maternity unit may request that you attend your antenatal appointments alone to aid infection control and help keep staff safe from transmission.
There may be a need to reduce the number of antenatal visits. You will be told if this is necessary. Do not reduce your number of visits without agreeing first with your maternity team.",UK,https://www.rcog.org.uk/en/guidelines-research-services/guidelines/coronavirus-pregnancy/covid-19-virus-infection-and-pregnancy/#general
